Arsenic measurements from ground water.

arsenic - level of arsenic in well water (in ppb)
depth - well depth (in 100's of feet)

arsenic	depth
1.2	9.82
2.5	10.2
3.4	10.47
4.3	10.97
2.9	10.9
4.9	10.88
2.5	11.54
4.4	11.96
6.5	12.4
4.9	12.19
3.4	12.58
3.6	12.82
7.3	13.24
5.1	13.29
3.3	13.19
8.5	14.06
6.8	13.97
14.5	14.27
3.8	14.86
3	14.64
7.7	15.05
11.6	15.48
2.8	15.66
5.7	16.24
8.4	15.68
13.7	16.28
7.3	16.63
10.3	16.81
10.1	17.38
9.1	17.58
8.9	17.65
15	17.61
8.8	18.17
11.9	18.21
13.1	18.54
15	18.6
12	18.97
9.7	19.17
14.1	19.85
16.1	19.62
16.2	19.86
29.1	20.23
20.2	21.04
56.8	20.56
15.8	21.55
24.6	21.07
19.3	21.79
14.6	21.66
30.6	21.88
18.9	22.35
16.8	22.56
17.2	22.55
20.3	23.32
57.8	23.5
32.8	23.61
73.9	24.18
25.6	24.29
18.1	24.58
36.1	24.78
28.8	25.25
48.5	24.95
35.3	25.15
56.8	25.69
20.6	25.66
29.6	25.98
38.7	26.44
59.2	26.96
49.4	26.89
56.3	27.42
28.5	27.15
41.3	27.28
43.5	27.87
20.1	28.63
26.5	28.19
65.4	28.49
76.3	28.65
46.6	29.11
42.9	28.78
42.8	29.29
99.2	29.79
96.8	29.78
97.6	30.6
81	30.46
61.4	30.75
46	31.24
95.3	31.55
150.9	31.51
72.8	31.88
32.2	32.14
71.6	32.01
87.9	32.66
159.6	33.09
68.6	33.02
85.1	33.32
110	33.7
37.9	33.84
123.3	34.22
58.1	34.1
132.6	34.57
82.9	35.22
99.9	35.34
76.7	35.12
49.1	35.64
70.8	36.1
76.9	35.88
113.1	36.38
72	36.78
106.7	36.79
221.2	37.09
91	37.38
47	37.76
107.7	37.76
41.7	38.35
81.6	38.73
150.4	38.6
116.6	38.99
55.6	39.49
192	39.24
76	39.56
90.4	40.13
107.2	40.21
137.8	40.26
137.3	40.58
124.1	41.34
97.6	41.22
35.6	41.5
144.2	41.77
107.9	41.98
81.1	42.06
93.5	42.55
138.1	42.72
105.6	42.89
171.1	43.36
97.9	43.23
107.2	43.67
55.3	44.04
101.3	44.24
79.6	44.54
132.9	44.67
86.7	45.03
71.6	44.73
85.3	45.49
57.5	46.03
83.1	45.85
78.7	46.2
181.5	46.61
59.6	46.2
87.2	46.93
61.8	47.09
83.9	47.2
139.1	47.71
72.6	47.75
72.6	47.89
77.3	48.49
210.7	48.71
58.5	49.18
45.8	49.14
54.8	49.12
77.2	49.56
49.4	49.8
141	50.24
88.4	50.72
166.5	50.37
47.1	50.85
36.7	51.47
37.9	51.64
30.1	51.77
40.8	51.83
98.9	51.95
48.8	52.31
100.9	52.66
66.3	53.12
92.8	53.27
46.5	53.43
50	53.71
35.6	53.86
64	53.97
112.8	54.14
46.2	54.89
39.8	54.68
50.7	55.34
44.8	55.53
37.9	55.54
38.9	55.94
44.6	56.65
71.1	56.65
16.8	56.78
25.6	56.78
45.5	57.06
25.4	58.01
10.8	58.09
45.7	58.47
30.2	58.54
38.9	58.49
21	58.79
39	59.01
36.2	58.87
31	59.67
10.3	59.71
36.4	59.77
